admit	-tt-
arise	arose, arisen
ban	-nn-
bear	bore, borne
beat	beat, beaten
become	became, become
beg	-gg-
begin	beginning, began, begun
bend	bent, bent
benefit	-t-
bid	bidding, bid
bind	bound
bite	bit, bitten
bleed	bled, bled
blow	blew, blown
break	broke, broken
breed	bred, bred
bring	brought, brought
broadcast	broadcast, broadcast
build	built, built
burn	burnt or burned, burnt or burned
burst	burst, burst
buy	bought, bought
cancel	-ll- or US USUALLY -l-
catch	caught, caught
channel	-ll-
chat	-tt-
choose	chose, chosen
chop	-pp-
clap	-pp-
cling	clung
combat	combatting, combatted, combating, combated
come	came, come
commit	-tt-
compel	compelling, compelled
control	-ll-
cost	cost, cost
creep	crept
cut	cutting, cut, cut
deal	dealt, dealt
dial	-ll-
die	dying, died, died
dig	digging, dug, dug
dim	-mm-
dip	-pp-
do	did, done
do	did, done
drag	-gg-
draw	drew, drawn
dream	dreamed or dreamt, dreamed or dreamt
drink	drank, drunk
drive	drove, driven
drop	-pp-
eat	ate, eaten
echo	echoing, echoed
emit	emitting, emitted
equip	-pp-
excel	excelling, excelled
fall	fell, fallen
feed	fed, fed
feel	felt, felt
fight	fought, fought
find	found, found
fit	-tt-
flee	fleeing, fled
fly	flew, flown
forbid	forbidding, forbade, forbidden
foresee	foreseeing, foresaw, foreseen
forget	forgetting, forgot, forgotten
forgive	forgave, forgiven
freeze	froze, frozen
fulfil	fulfilling, fulfilled
get	getting, got, got
give	gave, given
glue	glueing, gluing, glued
go	going, went, gone
grab	-bb-
grin	grinning, grinned
grip	-pp-
grow	grew, grown
have	had, had
have	had, had
have	had, had
hear	heard, heard
hide	hid, hidden
hit	hitting, hit, hit
hold	held, held
hop	hopping, hopped
hug	-gg-
hum	-mm-
hurt	hurt, hurt
incur	-rr-
infer	-rr-
keep	kept, kept
kneel	knelt or kneeled, knelt or kneeled
know	knew, known
label	-ll- or US USUALLY -l-
lay	laid, laid
lead	led, led
lean	leaned or leant, leaned or leant
leap	leapt, leaped
learn	learned or learnt, learned or learnt
leave	left, left
lend	lent, lent
let	letting, let, let
lie	lying, lay, lain
lie	lying, lied, lied
light	lit or lighted, lit or lighted
lose	lost, lost
make	made, made
mean	meant, meant
meet	met, met
mislead	misled
nod	-dd-
occur	-rr-
offset	offsetting, offset
omit	-tt-
overcome	overcame, overcome
overdo	overdid, overdone
overhear	overheard
overlap	overlapping, overlapped
overtake	overtook, overtaken
panic	panicking, panicked, panicked
pat	patting, patted
pay	paid, paid
permit	-tt-
pin	-nn-
plague	plaguing, plagued
plan	-nn-
pop	-pp-
prefer	-rr-
put	putting, put, put
quarrel	-ll-
quit	quitting, quit, quit
read	read, read
rebel	-ll-
rebuild	rebuilt, rebuilt
recur	recurring, recurred
refer	-rr-
regret	-tt-
repay	repaid, repaid
rethink	rethought
ride	rode, ridden
rip	-pp-
rise	rose, risen
rival	-ll-
rob	-bb-
rot	rotting, rotted
rub	-bb-
run	running, ran, run
say	said, said
scan	scanning, scanned
scrap	scrapping, scrapped
see	seeing, saw, seen
seek	sought, sought
sell	sold, sold
send	sent, sent
set	setting, set, set
sew	sewed, sewn or sewed
shake	shook, shaken
shed	shedding, shed, shed
shine	shone or shined, shone or shined
shoot	shot, shot
shop	-pp-
show	showed, shown
shrink	shrank, shrunk
shrug	shrugging, shrugged
shut	shutting, shut, shut
signal	-ll-
sing	sang, sung
sink	sank, sunk
sip	sipping, sipped
sit	sitting, sat, sat
ski	skiing, skied
slam	-mm-
slap	-pp-
sleep	slept, slept
slide	slid, slid
slip	-pp-
smell	smelled or smelt, smelled or smelt
sneak	sneaked
sob	-bb-
sow	sowed, sown, sowed
speak	spoke, spoken
spend	spent, spent
spill	spilled or spilt, spilled or spilt
spin	spinning, spun
split	splitting, split, split
spoil	spoiled or spoilt, spoiled or spoilt
spot	-tt-
spread	spread, spread
spur	spurring, spurred
stab	-bb-
stand	stood, stood
star	-rr-
steal	stole, stolen
stem	stemming, stemmed
step	-pp-
stick	stuck, stuck
stir	-rr-
stop	-pp-
strive	strove, strived, striven, strived
submit	-tt-
sue	suing, sued
swap	swapping, swapped
swear	swore, sworn
sweep	swept, swept
swim	swimming, swam, swum
swing	swung, swung
take	took, taken
tap	-pp-
teach	taught, taught
tear	tore, torn
tell	told, told
think	thought, thought
throw	threw, thrown
tie	tying, tied, tied
tip	-pp-
top	-pp-
total	-ll-
transfer	-rr-
transmit	-tt-
trap	-pp-
travel	-ll-
tread	trod or treaded, trod or trodden
trip	-pp-
undergo	undergoing, underwent, undergone
understand	understood, understood
undertake	undertook, undertaken
undo	undoing, undid, undone
untie	untying, untied, untied
unwind	unwound
uphold	upheld
upset	upsetting, upset, upset
wake	woke, woken
wear	wore, worn
weep	wept
win	winning, won, won
wind	wound, wound
withdraw	withdrew, withdrawn
withstand	withstood
worship	-pp- or -p-
wrap	-pp-
write	wrote, written
